Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Mean Sea Level Pressure daily mean [MSL];Total Precipitation daily sum [sfc];Snowfall amount raw daily sum [sfc];Total Cloud Cover daily mean [sfc];High Cloud Cover daily mean [high cld lay];Medium Cloud Cover daily mean [mid cld lay];Low Cloud Cover daily mean [low cld lay];Sunshine Duration daily sum [sfc];Shortwave Radiation daily sum [sfc];Wind Speed daily mean [10 m above gnd];Wind Direction daily mean [10 m above gnd];Wind Gust daily mean [sfc];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Mean Sea Level Pressure daily max [MSL];Mean Sea Level Pressure daily min [MSL];Total Cloud Cover daily max [sfc];Total Cloud Cover daily min [sfc];High Cloud Cover daily max [high cld lay];High Cloud Cover daily min [high cld lay];Medium Cloud Cover daily max [mid cld lay];Medium Cloud Cover daily min [mid cld lay];Low Cloud Cover daily max [low cld lay];Low Cloud Cover daily min [low cld lay];Wind Speed daily max [10 m above gnd];Wind Speed daily min [10 m above gnd];Wind Gust daily max [sfc];Wind Gust daily min [sfc]
2012;01;14;00;00;0.59;84.38;1028.04;0.00;0.00;39.04;0.00;0.00;39.04;365.23;2004.28;2.10;122.01;2.36;5.23;-2.47;100.00;56.00;1031.50;1025.20;100.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;5.11;0.30;5.60;0.30
2012;01;15;00;00;-0.61;78.67;1023.65;0.00;0.00;0.00;0.00;0.00;0.00;535.11;2059.46;2.92;97.20;6.10;4.75;-3.77;100.00;50.00;1026.60;1021.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.62;1.08;12.70;1.70
2012;01;16;00;00;-1.74;78.58;1023.98;0.00;0.00;23.21;0.71;0.00;23.17;307.73;2050.56;1.16;212.23;2.16;3.45;-4.98;98.00;45.00;1026.40;1022.00;100.00;0.00;4.00;0.00;0.00;0.00;100.00;0.00;2.27;0.20;8.60;0.30
2012;01;17;00;00;-0.74;73.50;1030.00;0.00;0.00;3.14;5.96;2.46;0.00;527.93;2176.05;1.41;106.66;1.09;4.16;-4.88;87.00;64.00;1032.10;1027.00;21.00;0.00;22.00;0.00;21.00;0.00;0.00;0.00;3.09;0.32;2.30;0.20
2012;01;18;00;00;1.83;60.50;1032.55;0.00;0.00;20.03;15.88;19.29;0.79;504.03;2208.98;1.04;150.73;1.55;5.40;-0.89;78.00;50.00;1034.40;1031.30;100.00;0.00;100.00;0.00;100.00;0.00;19.00;0.00;1.77;0.22;6.30;0.20
2012;01;19;00;00;6.72;76.67;1026.55;4.30;0.00;100.00;92.38;94.50;91.38;0.00;939.84;5.46;205.91;10.65;11.06;0.25;96.00;59.00;1032.00;1019.80;100.00;100.00;100.00;41.00;100.00;26.00;100.00;4.00;11.26;0.81;20.40;0.40
2012;01;20;00;00;6.77;81.54;1019.34;3.80;0.00;90.71;32.96;62.62;79.88;127.02;1432.90;9.45;272.35;16.47;9.97;5.28;90.00;69.00;1021.60;1016.20;100.00;10.00;100.00;0.00;100.00;0.00;100.00;10.00;11.60;7.86;20.60;13.10
2012;01;21;00;00;7.29;82.58;1016.85;8.80;0.00;75.55;59.62;69.04;62.21;128.08;1296.73;7.81;242.54;14.84;10.26;2.64;94.00;72.00;1020.40;1012.70;100.00;3.90;100.00;5.00;100.00;0.00;100.00;0.00;11.63;0.40;21.20;0.60
2012;01;22;00;00;7.38;82.04;1016.72;0.50;0.00;75.71;29.79;10.00;72.38;70.28;1606.45;8.06;269.15;14.10;9.69;5.57;90.00;73.00;1018.70;1013.10;100.00;7.20;100.00;4.00;65.00;0.00;100.00;0.00;10.61;6.11;19.30;10.60
2012;01;23;00;00;6.56;81.33;1018.72;1.30;0.00;89.21;9.96;32.75;84.50;18.51;1786.23;5.68;267.07;10.66;8.13;5.28;92.00;70.00;1019.60;1017.90;100.00;11.00;100.00;0.00;100.00;0.00;100.00;1.00;7.92;3.69;14.30;8.20
2012;01;24;00;00;4.77;80.21;1021.54;3.80;0.00;84.55;11.38;48.08;69.17;217.47;1731.05;3.81;287.20;6.64;6.14;4.00;91.00;64.00;1023.60;1018.40;100.00;0.30;100.00;0.00;100.00;0.00;100.00;0.00;6.61;1.53;12.90;2.70
2012;01;25;00;00;4.67;80.50;1021.50;0.00;0.00;71.71;0.08;17.96;71.50;374.57;2313.11;2.69;127.03;3.25;7.24;2.48;93.00;70.00;1022.70;1020.10;100.00;1.00;1.00;0.00;100.00;0.00;100.00;1.00;3.90;1.03;6.10;1.20
2012;01;26;00;00;4.49;78.04;1018.82;0.00;0.00;45.90;2.38;0.00;45.83;560.41;2309.55;3.70;110.36;4.38;8.47;0.01;89.00;67.00;1020.20;1017.00;100.00;0.00;16.00;0.00;0.00;0.00;100.00;0.00;5.55;1.86;8.60;1.40
2012;01;27;00;00;5.92;85.29;1022.62;2.60;0.00;100.00;35.17;79.38;100.00;0.00;1270.92;1.67;240.40;2.23;7.78;3.72;95.00;76.00;1025.80;1019.70;100.00;100.00;99.00;10.00;100.00;0.00;100.00;100.00;3.45;0.57;4.70;0.40
2012;01;28;00;00;4.53;79.21;1025.41;0.00;0.00;100.00;20.92;100.00;95.62;0.00;1346.57;1.84;118.29;2.80;6.09;2.39;90.00;67.00;1026.50;1024.00;100.00;100.00;100.00;0.00;100.00;100.00;100.00;7.00;3.72;0.20;6.60;0.20
2012;01;29;00;00;2.76;76.67;1022.75;0.00;0.00;92.70;37.25;68.42;92.54;0.00;1464.05;3.25;45.08;4.98;5.34;-0.73;94.00;63.00;1024.00;1021.10;100.00;3.90;100.00;1.00;100.00;0.00;100.00;0.00;5.39;0.41;7.40;2.30
2012;01;30;00;00;0.68;83.08;1024.84;0.00;0.00;96.08;39.88;60.42;89.21;52.34;1873.45;1.79;269.33;1.99;4.36;-2.21;96.00;63.00;1025.50;1023.80;100.00;45.00;100.00;0.00;100.00;0.00;100.00;9.00;3.32;0.40;4.00;0.50
2012;01;31;00;00;1.29;80.38;1019.75;0.30;0.21;98.42;0.00;78.29;93.67;0.00;1537.03;2.56;101.06;3.17;4.09;-1.86;96.00;65.00;1023.90;1016.90;100.00;62.00;0.00;0.00;100.00;0.00;100.00;32.00;5.20;0.32;6.50;0.40
2012;02;01;00;00;-1.76;69.96;1020.83;0.00;0.00;63.46;0.00;6.29;59.33;360.28;2631.73;4.11;121.66;6.30;1.16;-4.34;93.00;48.00;1022.70;1019.00;100.00;0.00;0.00;0.00;35.00;0.00;100.00;0.00;7.37;1.50;11.50;2.10
2012;02;02;00;00;-3.89;66.29;1022.01;0.20;0.21;96.33;0.00;77.46;96.33;0.00;1317.20;7.54;62.97;10.67;-2.31;-5.95;81.00;56.00;1025.20;1019.50;100.00;43.00;0.00;0.00;100.00;26.00;100.00;43.00;9.79;5.74;12.90;7.20
2012;02;03;00;00;-6.29;58.75;1028.98;0.00;0.00;21.79;0.00;19.62;14.50;582.40;2795.49;5.57;41.10;8.18;-3.31;-9.56;77.00;49.00;1032.40;1025.10;100.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;8.54;3.36;11.70;5.30
2012;02;04;00;00;-7.63;62.29;1033.25;0.00;0.00;8.42;0.00;0.00;8.42;497.82;2869.36;3.97;101.08;5.92;-3.71;-12.52;87.00;39.00;1034.60;1031.70;49.00;0.00;0.00;0.00;0.00;0.00;49.00;0.00;7.61;1.39;9.10;2.00
2012;02;05;00;00;-7.00;62.29;1031.05;0.00;0.00;0.35;0.75;0.33;0.00;583.63;2913.86;4.07;84.84;7.71;-2.43;-10.91;81.00;46.00;1033.90;1028.40;4.00;0.00;8.00;0.00;4.00;0.00;0.00;0.00;6.04;1.33;11.00;5.20
2012;02;06;00;00;-7.04;66.88;1032.25;0.00;0.00;38.92;0.00;0.46;38.46;221.88;2791.04;2.68;110.01;4.22;-3.31;-11.51;92.00;48.00;1033.70;1030.80;100.00;0.00;0.00;0.00;6.00;0.00;100.00;0.00;4.82;0.14;9.00;0.30
2012;02;07;00;00;-7.07;64.79;1031.06;0.00;0.00;63.58;20.50;18.21;63.58;11.32;2411.90;4.85;77.20;6.91;-4.39;-11.65;80.00;55.00;1032.50;1029.80;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;7.11;2.20;10.10;2.90
2012;02;08;00;00;-4.94;70.75;1031.28;0.00;0.00;17.12;2.25;10.67;6.58;567.71;2973.49;2.92;151.21;5.82;-0.80;-8.49;90.00;60.00;1034.30;1029.30;100.00;0.00;19.00;0.00;100.00;0.00;35.00;0.00;5.95;0.70;11.00;0.30
2012;02;09;00;00;-5.02;79.88;1033.62;0.00;0.00;46.46;16.62;20.29;26.62;311.40;2992.18;2.62;290.06;3.45;-0.50;-9.60;100.00;56.00;1035.70;1030.70;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;5.95;0.22;9.10;0.60
2012;02;10;00;00;-5.04;70.00;1032.90;0.00;0.14;41.21;0.00;0.00;41.21;318.24;2304.21;4.27;114.83;6.11;-2.13;-8.87;96.00;47.00;1034.70;1031.50;100.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;8.92;0.50;10.60;0.60
2012;02;11;00;00;-5.25;63.38;1029.21;0.00;0.00;18.04;0.00;0.00;18.04;378.62;2898.73;6.13;60.19;10.20;-1.65;-8.77;72.00;53.00;1031.80;1027.20;64.00;0.00;0.00;0.00;0.00;0.00;64.00;0.00;8.98;3.39;11.90;8.90
2012;02;12;00;00;-5.59;73.12;1029.58;0.00;0.00;3.75;0.00;0.00;3.75;566.96;3166.62;2.95;121.24;4.50;-0.60;-10.56;89.00;57.00;1031.30;1027.60;52.00;0.00;0.00;0.00;0.00;0.00;52.00;0.00;5.17;1.03;9.90;1.40
