"","Date2","ATTD","CAP","Pr"
"212","2017,Nov,16","18624","18624","100%"
"213","2017,Nov,24","18624","18624","100%"
"214","2017,Nov,27","18624","18624","100%"
"215","2017,Nov,30","18624","18624","100%"
"216","2017,Dec,2","18624","18624","100%"
"217","2017,Dec,4","18624","18624","100%"
"218","2017,Dec,6","18624","18624","100%"
"219","2017,Dec,13","18624","18624","100%"
"220","2017,Dec,15","18624","18624","100%"
"221","2017,Dec,20","18624","18624","100%"
"222","2017,Dec,23","18624","18624","100%"
"223","2017,Dec,25","18624","18624","100%"
"224","2017,Dec,28","18624","18624","100%"
"225","2017,Dec,31","18624","18624","100%"
"226","2018,Jan,3","18624","18624","100%"
"227","2018,Jan,5","18624","18624","100%"
"228","2018,Jan,16","18624","18624","100%"
"229","2018,Jan,18","18624","18624","100%"
"230","2018,Jan,21","18624","18624","100%"
"231","2018,Jan,31","18624","18624","100%"
"232","2018,Feb,2","18624","18624","100%"
"233","2018,Feb,4","18624","18624","100%"
"234","2018,Feb,9","18624","18624","100%"
"235","2018,Feb,11","18624","18624","100%"
"236","2018,Feb,14","18624","18624","100%"
"237","2018,Feb,26","18624","18624","100%"
"238","2018,Feb,28","18624","18624","100%"
"239","2018,Mar,11","18624","18624","100%"
"240","2018,Mar,14","18624","18624","100%"
"241","2018,Mar,20","18624","18624","100%"
"242","2018,Mar,31","18624","18624","100%"
"243","2018,Apr,6","18624","18624","100%"
"244","2018,Apr,8","18624","18624","100%"
"245","2018,Apr,11","18624","18624","100%"
